portfolio_id,year_month,old_monthly_return,new_monthly_return,independent_raw,independent_10dp,classification,position_start_date,expanded_weights,reason,source_row_number,monthly_classification,q1_operational_start,q2_finality,q3_monthly_boundary,q4_window_separation
015e74dc-26f3-47c5-98ea-414dc4fdf579,2017-02,0.0404591577,0.033080947,0.03281474308068098352402236785,0.0328147431,neither,2017-02-01,"{""GLD"":0.22916666666666666,""TECL"":0.041666666666666664,""TMV"":0.22916666666666666,""XLU"":0.5}",,2,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2017-04,0.0854672041,0.0832634327,0.06345224350966179037134066700,0.0634522435,neither,2017-04-03,"{""GLD"":0.0625,""TECL"":0.25,""TQQQ"":0.5625,""XLU"":0.125}",,3,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2021-04,0.0393207383,0.0303327413,0.03660037925031231573348980942,0.0366003793,neither,2021-04-01,"{""GLD"":0.3333333333333333,""TMV"":0.08333333333333333,""TQQQ"":0.08333333333333333,""XLU"":0.5}",,4,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2021-05,0.0379752864,0.036815318,0.03993824350636087072342279752,0.0399382435,neither,2021-05-03,"{""GLD"":0.6666666666666666,""TMV"":0.2916666666666667,""XLU"":0.041666666666666664}",,5,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2021-08,0.034293547,0.0151348122,0.03741780462184217593531930738,0.0374178046,neither,2021-08-02,"{""GLD"":0.625,""TECL"":0.29166666666666663,""XLU"":0.08333333333333333}",,6,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2021-09,-0.0567230198,-0.0463062606,-0.06618699658780453547718382468,-0.0661869966,neither,2021-09-01,"{""GLD"":0.7291666666666666,""TECL"":0.22916666666666666,""XLU"":0.041666666666666664}",,7,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2021-10,0.2079908136,0.2226304777,0.2152814774017756302818720517,0.2152814774,neither,2021-10-01,"{""TECL"":0.375,""TQQQ"":0.625}",,8,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2023-08,0.0281686392,0.025544219,0.01018342936130750414842782084,0.0101834294,neither,2023-08-01,"{""GLD"":0.625,""TMV"":0.3125,""TQQQ"":0.0625}",,9,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2023-10,-0.004115412,-0.0062018475,-0.01901052939921249082041936407,-0.0190105294,neither,2023-10-02,"{""TECL"":0.3125,""TMV"":0.3125,""TQQQ"":0.375}",,10,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
015e74dc-26f3-47c5-98ea-414dc4fdf579,2023-11,0.1038318742,0.139263001,0.1440277343822707241357203159,0.1440277344,neither,2023-11-01,"{""TECL"":0.3125,""TMV"":0.2916666666666667,""TQQQ"":0.3541666666666667,""XLU"":0.041666666666666664}",,11,要調査,unknown: source CSV has no PF operational_start_date,historical/completed,unknown: position_start_date belongs to the invalidated month-start oracle; ledger/expanded-weight boundary evidence is absent,"pass: row represents monthly return, not a momentum window"
