portfolio_id,portfolio_name,portfolio_type,layer,era,month,first_trade_date,boundary_date,ledger_effective_date,expanded_switch_date,boundary_source,ledger_verified
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,pre_2015,2014-06-01,2014-06-02,2014-06-03,2014-06-02,2014-06-03,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,pre_2015,2014-07-01,2014-07-01,2014-07-02,2014-07-01,2014-07-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,pre_2015,2014-09-01,2014-09-02,2014-09-03,2014-09-02,2014-09-03,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,pre_2015,2014-10-01,2014-10-01,2014-10-02,2014-10-01,2014-10-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,pre_2015,2014-11-01,2014-11-03,2014-11-04,2014-11-03,2014-11-04,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,pre_2015,2014-12-01,2014-12-01,2014-12-02,2014-12-01,2014-12-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-01-01,2015-01-02,2015-01-05,2015-01-02,2015-01-05,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-02-01,2015-02-02,2015-02-03,2015-02-02,2015-02-03,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-03-01,2015-03-02,2015-03-03,2015-03-02,2015-03-03,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-04-01,2015-04-01,2015-04-02,2015-04-01,2015-04-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-05-01,2015-05-01,2015-05-04,2015-05-01,2015-05-04,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-06-01,2015-06-01,2015-06-02,2015-06-01,2015-06-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-07-01,2015-07-01,2015-07-02,2015-07-01,2015-07-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-08-01,2015-08-03,2015-08-04,2015-08-03,2015-08-04,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-09-01,2015-09-01,2015-09-02,2015-09-01,2015-09-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-10-01,2015-10-01,2015-10-02,2015-10-01,2015-10-02,expanded_fallback,f
015e74dc-26f3-47c5-98ea-414dc4fdf579,奥義-GS-新四つ目-常勝,fof,L2,2015_2019,2015-11-01,2015-11-02,2015-11-03,2015-11-02,2015-11-03,expanded_fallback,f
