# run_id status process_start_ns preflight_done_ns publish_entry_ns exit_ns process_to_preflight_ms preflight_to_publish_entry_ms publish_entry_to_exit_ms total_ms top_interval top_ms
cmd_publish_t101_probe-3664042-1787847276668388 PASS 35347250303068 35347299792762 35347737446838 35347772064488 50 438 35 522 preflight_to_publish_entry 438
cmd_publish_t101_probe-3664895-1787847279082576 PASS 35349656638783 35349695134333 35349767574531 35349800860911 39 73 34 145 preflight_to_publish_entry 73
cmd_publish_t101_probe-3665233-1787847280158576 PASS 35350731697412 35350764925842 35350816382676 35350855352140 34 52 39 124 preflight_to_publish_entry 52
cmd_publish_t101_probe-3665587-1787847281288122 FAIL 35351868501672 35351906969293 NA 35351952562341 39 NA NA 85 process_to_preflight 39
cmd_absent_probe_for_cap_invariant-3670328-1787847293663815 FAIL 35364238110012 35364267231537 NA 35364307273547 30 NA NA 70 process_to_preflight 30
cmd_publish_phase_probe-3670560-1787847294428243 PASS 35365014557740 35365053303851 35365607779257 35365641285394 39 555 34 627 preflight_to_publish_entry 555
cmd_absent_probe_for_cap_invariant-4140745-1787919695492251 FAIL 102219671120839 102219702386684 NA 102219749723856 32 NA NA 79 process_to_preflight 32
cmd_publish_phase_probe-4140989-1787919696400059 PASS 102220572801398 102220612066176 102220996617340 102221029263284 40 385 33 457 preflight_to_publish_entry 385
cmd_absent_probe_for_cap_invariant-327657-1787920693340372 FAIL 103162202574478 103162233415044 NA 103162268422193 31 NA NA 66 process_to_preflight 31
cmd_publish_phase_probe-327982-1787920694137585 PASS 103163008749180 103163059400410 103163513035819 103163568643520 51 454 56 560 preflight_to_publish_entry 454
cmd_4411-3585974-1787989475901735 PASS 169020831055883 169020890495321 169050771139659 169053451210285 60 29881 2681 32621 preflight_to_publish_entry 29881
cmd_4413-299205-1788060329605283 FAIL 230189207470923 230189265028901 230206587927225 230211754724760 58 17323 5167 22548 preflight_to_publish_entry 17323
cmd_4414-552681-1788061028139516 FAIL 230865366985293 230865384713687 230877319481829 230885203313447 18 11935 7884 19837 preflight_to_publish_entry 11935
cmd_4415-903004-1788061930333357 FAIL 231733918708628 231733949136725 231756598495748 231764611544226 31 22650 8014 30693 preflight_to_publish_entry 22650
cmd_4416-1404719-1788063426923575 FAIL 233171863586582 233171882103908 233181793392231 233186550508196 19 9912 4758 14687 preflight_to_publish_entry 9912
cmd_4417-2115454-1788076637659212 FAIL 245772604598218 245772626875313 245988510751559 245994884554374 23 215884 6374 222280 preflight_to_publish_entry 215884
cmd_4418-2408713-1788077635191325 PASS 246711425956419 246711439668930 246910365664382 246915926950923 14 198926 5562 204501 preflight_to_publish_entry 198926
