     2.3 GB  $Recycle.Bin
     0.0 GB  .pytest_cache
     0.0 GB  Config.Msi
     0.0 GB  Default
     0.0 GB  Documents and Settings
     0.0 GB  inetpub
     0.0 GB  Intel
     0.1 GB  mnt
     0.0 GB  OneDriveTemp
     0.0 GB  PerfLogs
    19.6 GB  Program Files
    26.1 GB  Program Files (x86)
     5.1 GB  ProgramData
    87.1 GB  Python_app
     0.0 GB  Recovery
     0.0 GB  System Volume Information
     8.4 GB  temp
    17.2 GB  tmp
    23.4 GB  tools
   628.4 GB  Users
     0.0 GB  var
    41.1 GB  Windows
     0.0 GB  66E73D608D2E
     0.0 GB  appverifUI.dll
     0.0 GB  DumpStack.log
     0.0 GB  DumpStack.log.tmp
    12.6 GB  hiberfil.sys
     0.0 GB  logUploaderSettings.ini
     0.0 GB  logUploaderSettings_temp.ini
    32.0 GB  pagefile.sys
     0.3 GB  swapfile.sys
     0.0 GB  vfcompat.dll

[exited with code 0]
