pid,name,year_month,prod_holding_signal,gs_holding_signal,match
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-03,TECL,TECL,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-04,TECL,TECL,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-05,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-06,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-07,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-08,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-09,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-10,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-11,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-12,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-01,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-02,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-03,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-04,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-05,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-06,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-07,XLU,TQQQ,MISMATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-08,XLU,XLU,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-09,XLU,XLU,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-10,XLU,XLU,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-11,XLU,XLU,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-12,XLU,XLU,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2014-01,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2014-02,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2014-03,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2014-04,XLU,XLU,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2014-05,TQQQ,TQQQ,MATCH
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2014-06,TQQQ,TQQQ,MATCH
