pid,name,year_month,prod_signal,prod_holding_signal
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-02,TQQQ,Cash
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-03,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-04,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-06,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-07,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-08,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-09,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-10,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-11,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2011-12,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-01,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-02,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-03,TQQQ,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-04,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-06,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-07,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-08,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-09,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-10,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-11,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2012-12,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-01,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-02,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-03,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-04,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-06,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2013-07,XLU,XLU
