name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン朱雀-激攻,2013-04,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.152196813,0.0551501991814622,0.20734701218146218
シン朱雀-激攻,2013-05,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.2439885719,0.0985906086626208,0.1453979632373792
シン朱雀-激攻,2013-12,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.0443426857,0.0793876180713706,0.035044932371370595
シン朱雀-激攻,2014-01,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.1720312621,-0.0666284225319187,0.1054028395680813
シン朱雀-激攻,2016-02,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,-0.0075611431,-0.1039288534360152,0.0963677103360152
シン朱雀-激攻,2016-03,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,0.1925052865,-0.0193306143098965,0.2118359008098965
シン朱雀-激攻,2017-10,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.002103879,0.1771177983378653,0.1750139193378653
シン朱雀-激攻,2017-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.0435694126,0.0120063082214548,0.0555757208214548
シン朱雀-激攻,2018-04,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,0.0035694698,0.0608384734149927,0.057269003614992695
シン朱雀-激攻,2018-05,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,0.2147787772,-0.0448192241525949,0.2595980013525949
シン朱雀-激攻,2018-10,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.0966366121,-0.2649387974752119,0.3615754095752119
シン朱雀-激攻,2018-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.0531317212,0.0043569456831122,0.0574886668831122
シン朱雀-激攻,2019-04,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,0.1745387475,0.0355174259820034,0.13902132151799662
シン朱雀-激攻,2019-05,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,-0.2646366583,-0.1780011647719181,0.08663549352808189
シン朱雀-激攻,2019-12,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,0.1489139682,0.024003661800819,0.12491030639918099
シン朱雀-激攻,2020-01,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",TMV,0.0793321624,-0.1681109133347508,0.24744307573475083
