# precision: git commit 時刻が SSOT(状態遷移ごとの commit 以降は事象時刻≈commit 時刻。08-28 09:15 以前は 30 分束 commit ゆえ 0m が多い)
id	state	registered_at	started_at	resolved_at	lead_start_min	lead_resolve_min	reopened
T01	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T02	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T03	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T04	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T05	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T06	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T07	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T08	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T10:55:25+09:00	0	611	no
T09	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T10	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T11:32:32+09:00	0	648	no
T11	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T16	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T12	x	2026-08-27T00:43:42+09:00	2026-08-27T20:35:55+09:00	2026-08-27T20:35:55+09:00	1192	0	no
T13	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T14	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T15	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T18	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T19	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T05:43:25+09:00	0	299	no
T20	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T21	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T09:29:29+09:00	0	525	no
T22	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T09:43:25+09:00	0	539	no
T23	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T09:04:26+09:00	0	500	no
T24	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T25	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T05:43:25+09:00	0	299	no
T27	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T02:52:20+09:00	0	128	no
T28	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
K02	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T29	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
T30	x	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	2026-08-27T00:43:42+09:00	0	0	no
